Country_Name,Year,Region,IncomeGroup,CO2_emissions_metric_tons_per_capita,Urban_population,Energy_use_kg_of_oil_equivalent_per_capita
Afghanistan,1960,South Asia,Low income,0.0460567126299034,755836,NA
Afghanistan,1961,South Asia,Low income,0.0535888350504558,796272,NA
Afghanistan,1962,South Asia,Low income,0.0737208308323819,839385,NA
Afghanistan,1963,South Asia,Low income,0.0741607248298659,885228,NA
Afghanistan,1964,South Asia,Low income,0.0861736143685528,934135,NA
Afghanistan,1965,South Asia,Low income,0.10128491249779,986074,NA
Afghanistan,1966,South Asia,Low income,0.107398880925452,1041191,NA
Afghanistan,1967,South Asia,Low income,0.123409531952439,1099272,NA
Afghanistan,1968,South Asia,Low income,0.115142497510826,1161355,NA
Afghanistan,1969,South Asia,Low income,0.0865098566374047,1228273,NA
Afghanistan,1970,South Asia,Low income,0.149651474425259,1300947,NA
Afghanistan,1971,South Asia,Low income,0.16520832089736,1379463,NA
Afghanistan,1972,South Asia,Low income,0.12999559417753,1463290,NA
Afghanistan,1973,South Asia,Low income,0.135366587543459,1551037,NA
Afghanistan,1974,South Asia,Low income,0.154503240567311,1640868,NA
Afghanistan,1975,South Asia,Low income,0.167612355743012,1730928,NA
Afghanistan,1976,South Asia,Low income,0.153557886047794,1821611,NA
Afghanistan,1977,South Asia,Low income,0.18152216644272,1912078,NA
Afghanistan,1978,South Asia,Low income,0.161894231687439,1997578,NA
Afghanistan,1979,South Asia,Low income,0.167066411474234,2070935,NA
Afghanistan,1980,South Asia,Low income,0.131782918458271,2136374,NA
Afghanistan,1981,South Asia,Low income,0.150614656164027,2181492,NA
Afghanistan,1982,South Asia,Low income,0.163103934258866,2208967,NA
Afghanistan,1983,South Asia,Low income,0.201224304559119,2225071,NA
Afghanistan,1984,South Asia,Low income,0.2319613460576,2241318,NA
Afghanistan,1985,South Asia,Low income,0.293956932229695,2267901,NA
Afghanistan,1986,South Asia,Low income,0.267771904296961,2305807,NA
Afghanistan,1987,South Asia,Low income,0.269229595949307,2357345,NA
Afghanistan,1988,South Asia,Low income,0.246823271293135,2439549,NA
Afghanistan,1989,South Asia,Low income,0.233882194583363,2502909,NA
Afghanistan,1990,South Asia,Low income,0.210643419418854,2628554,NA
Afghanistan,1991,South Asia,Low income,0.183363552358795,2828169,NA
Afghanistan,1992,South Asia,Low income,0.0961965810608727,3093388,NA
Afghanistan,1993,South Asia,Low income,0.0850871075160703,3391712,NA
Afghanistan,1994,South Asia,Low income,0.0758064942125158,3677087,NA
Afghanistan,1995,South Asia,Low income,0.0686398621540897,3916248,NA
Afghanistan,1996,South Asia,Low income,0.0624346107290676,4093835,NA
Afghanistan,1997,South Asia,Low income,0.0566423445298646,4220821,NA
Afghanistan,1998,South Asia,Low income,0.0527632181252538,4321584,NA
Afghanistan,1999,South Asia,Low income,0.0407225399194997,4434762,NA
Afghanistan,2000,South Asia,Low income,0.0372347810411313,4587798,NA
